Goroka Airport,GKA,AYGA
Isle of Man Airport,IOM,EGNS
Newcastle Airport,NCL,EGNT
Durham Tees Valley Airport,MME,EGNV
East Midlands Airport,EMA,EGNX
Llanbedr Airport,\N,EGOD
RAF Ternhill,\N,EGOE
RAF Shawbury,\N,EGOS
RAF Woodvale,\N,EGOW
Kirkwall Airport,KOI,EGPA
Sumburgh Airport,LSI,EGPB
Wick Airport,WIC,EGPC
Aberdeen Dyce Airport,ABZ,EGPD
Inverness Airport,INV,EGPE
Glasgow International Airport,GLA,EGPF
Edinburgh Airport,EDI,EGPH
Islay Airport,ILY,EGPI
Glasgow Prestwick Airport,PIK,EGPK
Benbecula Airport,BEB,EGPL
Scatsta Airport,SCS,EGPM
Dundee Airport,DND,EGPN
Stornoway Airport,SYY,EGPO
Tiree Airport,TRE,EGPU
RAF Leuchars,ADX,EGQL
RAF Lossiemouth,LMO,EGQS
Cambridge Airport,CBG,EGSC
Peterborough Business Airport,\N,EGSF
Norwich International Airport,NWI,EGSH
London Stansted Airport,STN,EGSS
North Weald Airport,\N,EGSX
Sheffield City Heliport,\N,EGSY
Cranfield Airport,\N,EGTC
Exeter International Airport,EXT,EGTE
Bristol Filton Airport,FZO,EGTG
Oxford (Kidlington) Airport,OXF,EGTK
RAF Benson,BEX,EGUB
RAF Lakenheath,LKZ,EGUL
RAF Mildenhall,MHZ,EGUN
RAF Wattisham,\N,EGUW
RAF Wyton,QUY,EGUY
RAF Fairford,FFD,EGVA
RAF Brize Norton,BZZ,EGVN
RAF Odiham,ODH,EGVO
DCAE Cosford Air Base,\N,EGWC
RAF Northolt,NHT,EGWU
RAF Coningsby,QCY,EGXC
RAF Dishforth,\N,EGXD
Leeming Airport,\N,EGXE
Leeds East Airport,\N,EGXG
RAF Honington,BEQ,EGXH
RAF Cottesmore,\N,EGXJ
RAF Scampton,SQZ,EGXP
RAF Wittering,\N,EGXT
RAF Linton-On-Ouse,HRT,EGXU
RAF Waddington,WTN,EGXW
RAF Topcliffe,\N,EGXZ
RAF Cranwell,\N,EGYD
RAF Barkston Heath,\N,EGYE
RAF Marham,KNF,EGYM
Mount Pleasant Airport,MPN,EGYP
Amsterdam Airport Schiphol,AMS,EHAM
Budel Airfield Kempen,\N,EHBD
Maastricht Aachen Airport,MST,EHBK
Deelen Air Base,\N,EHDL
Drachten Airport,\N,EHDR
Eindhoven Airport,EIN,EHEH
Eelde Airport,GRQ,EHGG
Gilze Rijen Air Base,GLZ,EHGR
De Kooy Airport,DHR,EHKD
Lelystad Airport,LEY,EHLE
Leeuwarden Air Base,LWR,EHLW
Rotterdam The Hague Airport,RTM,EHRD
Soesterberg Air Base,UTC,EHSB
Twente Airport,ENS,EHTW
Valkenburg Naval Air Base,LID,EHVB
Woensdrecht Air Base,WOE,EHWO
Cork Airport,ORK,EICK
Galway Airport,GWY,EICM
Dublin Airport,DUB,EIDW
Ireland West Knock Airport,NOC,EIKN
Kerry Airport,KIR,EIKY
Casement Air Base,\N,EIME
Shannon Airport,SNN,EINN
Sligo Airport,SXL,EISG
Waterford Airport,WAT,EIWF
Aarhus Airport,AAR,EKAH
Billund Airport,BLL,EKBI
Copenhagen Kastrup Airport,CPH,EKCH
Esbjerg Airport,EBJ,EKEB
Grønholt Hillerød Airport,\N,EKGH
Karup Airport,KRP,EKKA
Læsø Airport,BYR,EKLS
Lolland Falster Maribo Airport,MRW,EKMB
Odense Airport,ODE,EKOD
Kruså-Padborg Airport,\N,EKPB
Copenhagen Roskilde Airport,RKE,EKRK
Bornholm Airport,RNN,EKRN
Sønderborg Airport,SGD,EKSB
Skrydstrup Air Base,SKS,EKSP
Skive Airport,SQW,EKSV
Thisted Airport,TED,EKTS
Kolding Vamdrup Airfield,\N,EKVD
Vagar Airport,FAE,EKVG
Vesthimmerlands Flyveplads,\N,EKVH
Stauning Airport,STA,EKVJ
Aalborg Airport,AAL,EKYT
Luxembourg-Findel International Airport,LUX,ELLX
Ålesund Airport,AES,ENAL
Andøya Airport,ANX,ENAN
Alta Airport,ALF,ENAT
Bømoen Airport,\N,ENBM
Brønnøysund Airport,BNN,ENBN
Bodø Airport,BOO,ENBO
Bergen Airport Flesland,BGO,ENBR
Båtsfjord Airport,BJF,ENBS
Kristiansand Airport,KRS,ENCN
Geilo Airport Dagali,DLD,ENDI
Bardufoss Airport,BDU,ENDU
"Harstad/Narvik Airport, Evenes",EVE,ENEV
Leirin Airport,VDB,ENFG
Florø Airport,FRO,ENFL
Oslo Lufthavn,OSL,ENGM
Haugesund Airport,HAU,ENHD
Hasvik Airport,HAA,ENHK
Kristiansund Airport (Kvernberget),KSU,ENKB
Kjeller Airport,\N,ENKJ
Kirkenes Airport (Høybuktmoen),KKN,ENKR
Lista Airport,FAN,ENLI
Molde Airport,MOL,ENML
Mosjøen Airport (Kjærstad),MJF,ENMS
Banak Airport,LKL,ENNA
Notodden Airport,NTB,ENNO
Ørland Airport,OLA,ENOL
Røros Airport,RRS,ENRO
"Moss Airport, Rygge",RYG,ENRY
"Svalbard Airport, Longyear",LYR,ENSB
Skien Airport,SKE,ENSN
Stord Airport,SRP,ENSO
Sandnessjøen Airport (Stokka),SSJ,ENST
